image_name,background_id,background_type,control_present,transgenic_present,control_count,transgenic_count
synth_0001_bg-bg_water_hab_09_type-water_ctrl-0_trans-1.jpg,bg_water_hab_09,water,0,1,0,1
synth_0002_bg-bg_veg_07_type-vegetation_ctrl-0_trans-0.jpg,bg_veg_07,vegetation,0,0,0,0
synth_0003_bg-bg_veg_01_type-vegetation_ctrl-0_trans-0.jpg,bg_veg_01,vegetation,0,0,0,0
synth_0004_bg-bg_water_hab_14_type-water_ctrl-1_trans-1.jpg,bg_water_hab_14,water,1,1,1,1
synth_0005_bg-bg_water_hab_22_type-water_ctrl-0_trans-0.jpg,bg_water_hab_22,water,0,0,0,0
synth_0006_bg-bg_water_hab_03_type-water_ctrl-0_trans-0.jpg,bg_water_hab_03,water,0,0,0,0
synth_0007_bg-bg_dry_04_type-dry_soil_ctrl-1_trans-1.jpg,bg_dry_04,dry_soil,1,1,1,1
synth_0008_bg-bg_water_nonhab_01_type-water_ctrl-1_trans-1.jpg,bg_water_nonhab_01,water,1,1,1,1
synth_0009_bg-bg_water_hab_05_type-water_ctrl-3_trans-0.jpg,bg_water_hab_05,water,1,0,3,0
synth_0010_bg-bg_water_hab_21_type-water_ctrl-0_trans-1.jpg,bg_water_hab_21,water,0,1,0,1
synth_0011_bg-bg_art_05_type-artificial_ctrl-0_trans-0.jpg,bg_art_05,artificial,0,0,0,0
synth_0012_bg-bg_water_hab_19_type-water_ctrl-0_trans-0.jpg,bg_water_hab_19,water,0,0,0,0
synth_0013_bg-bg_water_hab_16_type-water_ctrl-2_trans-2.jpg,bg_water_hab_16,water,1,1,2,2
synth_0014_bg-bg_veg_06_type-vegetation_ctrl-0_trans-0.jpg,bg_veg_06,vegetation,0,0,0,0
synth_0015_bg-bg_veg_01_type-vegetation_ctrl-3_trans-0.jpg,bg_veg_01,vegetation,1,0,3,0
synth_0016_bg-bg_dry_05_type-dry_soil_ctrl-4_trans-0.jpg,bg_dry_05,dry_soil,1,0,4,0
synth_0017_bg-bg_water_hab_21_type-water_ctrl-2_trans-0.jpg,bg_water_hab_21,water,1,0,2,0
synth_0018_bg-bg_veg_02_type-vegetation_ctrl-0_trans-5.jpg,bg_veg_02,vegetation,0,1,0,5
synth_0019_bg-bg_water_hab_04_type-water_ctrl-0_trans-0.jpg,bg_water_hab_04,water,0,0,0,0
synth_0020_bg-bg_veg_07_type-vegetation_ctrl-7_trans-0.jpg,bg_veg_07,vegetation,1,0,7,0
synth_0021_bg-bg_water_hab_22_type-water_ctrl-7_trans-0.jpg,bg_water_hab_22,water,1,0,7,0
synth_0022_bg-bg_veg_02_type-vegetation_ctrl-2_trans-0.jpg,bg_veg_02,vegetation,1,0,2,0
synth_0023_bg-bg_water_hab_25_type-water_ctrl-2_trans-3.jpg,bg_water_hab_25,water,1,1,2,3
synth_0024_bg-bg_art_01_type-artificial_ctrl-7_trans-2.jpg,bg_art_01,artificial,1,1,7,2
synth_0025_bg-bg_dry_04_type-dry_soil_ctrl-3_trans-3.jpg,bg_dry_04,dry_soil,1,1,3,3
synth_0026_bg-bg_veg_05_type-vegetation_ctrl-5_trans-0.jpg,bg_veg_05,vegetation,1,0,5,0
synth_0027_bg-bg_water_hab_19_type-water_ctrl-6_trans-2.jpg,bg_water_hab_19,water,1,1,6,2
synth_0028_bg-bg_water_hab_22_type-water_ctrl-1_trans-0.jpg,bg_water_hab_22,water,1,0,1,0
synth_0029_bg-bg_water_hab_04_type-water_ctrl-0_trans-0.jpg,bg_water_hab_04,water,0,0,0,0
synth_0030_bg-bg_veg_01_type-vegetation_ctrl-3_trans-3.jpg,bg_veg_01,vegetation,1,1,3,3
synth_0031_bg-bg_water_hab_25_type-water_ctrl-4_trans-0.jpg,bg_water_hab_25,water,1,0,4,0
synth_0032_bg-bg_dry_01_type-dry_soil_ctrl-7_trans-0.jpg,bg_dry_01,dry_soil,1,0,7,0
synth_0033_bg-bg_art_05_type-artificial_ctrl-0_trans-2.jpg,bg_art_05,artificial,0,1,0,2
synth_0034_bg-bg_veg_05_type-vegetation_ctrl-2_trans-3.jpg,bg_veg_05,vegetation,1,1,2,3
synth_0035_bg-bg_veg_08_type-vegetation_ctrl-0_trans-6.jpg,bg_veg_08,vegetation,0,1,0,6
synth_0036_bg-bg_dry_05_type-dry_soil_ctrl-1_trans-1.jpg,bg_dry_05,dry_soil,1,1,1,1
synth_0037_bg-bg_veg_04_type-vegetation_ctrl-0_trans-5.jpg,bg_veg_04,vegetation,0,1,0,5
synth_0038_bg-bg_water_hab_24_type-water_ctrl-0_trans-0.jpg,bg_water_hab_24,water,0,0,0,0
synth_0039_bg-bg_water_hab_02_type-water_ctrl-4_trans-0.jpg,bg_water_hab_02,water,1,0,4,0
synth_0040_bg-bg_dry_05_type-dry_soil_ctrl-0_trans-0.jpg,bg_dry_05,dry_soil,0,0,0,0
synth_0041_bg-bg_water_hab_24_type-water_ctrl-0_trans-3.jpg,bg_water_hab_24,water,0,1,0,3
synth_0042_bg-bg_water_hab_13_type-water_ctrl-0_trans-5.jpg,bg_water_hab_13,water,0,1,0,5
synth_0043_bg-bg_water_hab_25_type-water_ctrl-0_trans-1.jpg,bg_water_hab_25,water,0,1,0,1
synth_0044_bg-bg_water_hab_20_type-water_ctrl-0_trans-0.jpg,bg_water_hab_20,water,0,0,0,0
synth_0045_bg-bg_dry_01_type-dry_soil_ctrl-0_trans-0.jpg,bg_dry_01,dry_soil,0,0,0,0
synth_0046_bg-bg_dry_04_type-dry_soil_ctrl-0_trans-0.jpg,bg_dry_04,dry_soil,0,0,0,0
synth_0047_bg-bg_veg_08_type-vegetation_ctrl-4_trans-0.jpg,bg_veg_08,vegetation,1,0,4,0
synth_0048_bg-bg_water_hab_08_type-water_ctrl-0_trans-4.jpg,bg_water_hab_08,water,0,1,0,4
synth_0049_bg-bg_art_02_type-artificial_ctrl-0_trans-4.jpg,bg_art_02,artificial,0,1,0,4
synth_0050_bg-bg_water_hab_26_type-water_ctrl-0_trans-3.jpg,bg_water_hab_26,water,0,1,0,3
synth_0051_bg-bg_dry_03_type-dry_soil_ctrl-6_trans-2.jpg,bg_dry_03,dry_soil,1,1,6,2
synth_0052_bg-bg_art_08_type-artificial_ctrl-0_trans-3.jpg,bg_art_08,artificial,0,1,0,3
synth_0053_bg-bg_veg_08_type-vegetation_ctrl-1_trans-1.jpg,bg_veg_08,vegetation,1,1,1,1
synth_0054_bg-bg_veg_01_type-vegetation_ctrl-0_trans-2.jpg,bg_veg_01,vegetation,0,1,0,2
synth_0055_bg-bg_water_hab_25_type-water_ctrl-1_trans-1.jpg,bg_water_hab_25,water,1,1,1,1
synth_0056_bg-bg_dry_04_type-dry_soil_ctrl-0_trans-0.jpg,bg_dry_04,dry_soil,0,0,0,0
synth_0057_bg-bg_dry_01_type-dry_soil_ctrl-0_trans-0.jpg,bg_dry_01,dry_soil,0,0,0,0
