image_name,background_id,background_type,control_present,transgenic_present,control_count,transgenic_count
large_synth_0001_large_trans_only_bg-bg_moist_09_type-unknown_ctrl-0_trans-7.jpg,bg_moist_09,unknown,0,1,0,7
large_synth_0002_large_ctrl_only_bg-bg_moist_09_type-unknown_ctrl-5_trans-0.jpg,bg_moist_09,unknown,1,0,5,0
large_synth_0003_large_mixed_bg-bg_moist_09_type-unknown_ctrl-6_trans-5.jpg,bg_moist_09,unknown,1,1,6,5
large_synth_0004_large_trans_only_bg-bg_moist_05_type-unknown_ctrl-0_trans-8.jpg,bg_moist_05,unknown,0,1,0,8
large_synth_0005_large_ctrl_only_bg-bg_moist_05_type-unknown_ctrl-4_trans-0.jpg,bg_moist_05,unknown,1,0,4,0
large_synth_0006_large_mixed_bg-bg_moist_05_type-unknown_ctrl-3_trans-6.jpg,bg_moist_05,unknown,1,1,3,6
large_synth_0007_large_trans_only_bg-bg_water_hab_04_type-water_ctrl-0_trans-8.jpg,bg_water_hab_04,water,0,1,0,8
large_synth_0008_large_ctrl_only_bg-bg_water_hab_04_type-water_ctrl-5_trans-0.jpg,bg_water_hab_04,water,1,0,5,0
large_synth_0009_large_mixed_bg-bg_water_hab_04_type-water_ctrl-6_trans-6.jpg,bg_water_hab_04,water,1,1,6,6
large_synth_0010_large_trans_only_bg-bg_water_hab_05_type-water_ctrl-0_trans-4.jpg,bg_water_hab_05,water,0,1,0,4
large_synth_0011_large_ctrl_only_bg-bg_water_hab_05_type-water_ctrl-8_trans-0.jpg,bg_water_hab_05,water,1,0,8,0
large_synth_0012_large_mixed_bg-bg_water_hab_05_type-water_ctrl-4_trans-6.jpg,bg_water_hab_05,water,1,1,4,6
large_synth_0013_large_trans_only_bg-bg_water_hab_06_type-water_ctrl-0_trans-7.jpg,bg_water_hab_06,water,0,1,0,7
large_synth_0014_large_ctrl_only_bg-bg_water_hab_06_type-water_ctrl-6_trans-0.jpg,bg_water_hab_06,water,1,0,6,0
large_synth_0015_large_mixed_bg-bg_water_hab_06_type-water_ctrl-5_trans-6.jpg,bg_water_hab_06,water,1,1,5,6
large_synth_0016_large_trans_only_bg-bg_water_hab_16_type-water_ctrl-0_trans-6.jpg,bg_water_hab_16,water,0,1,0,6
large_synth_0017_large_ctrl_only_bg-bg_water_hab_16_type-water_ctrl-7_trans-0.jpg,bg_water_hab_16,water,1,0,7,0
large_synth_0018_large_mixed_bg-bg_water_hab_16_type-water_ctrl-4_trans-3.jpg,bg_water_hab_16,water,1,1,4,3
large_synth_0019_large_trans_only_bg-bg_water_hab_15_type-water_ctrl-0_trans-5.jpg,bg_water_hab_15,water,0,1,0,5
large_synth_0020_large_ctrl_only_bg-bg_water_hab_15_type-water_ctrl-5_trans-0.jpg,bg_water_hab_15,water,1,0,5,0
large_synth_0021_large_mixed_bg-bg_water_hab_15_type-water_ctrl-6_trans-3.jpg,bg_water_hab_15,water,1,1,6,3
